,attack_cat
0,None
1,None
2,None
3,None
4,None
5,None
6,None
7,None
8,None
9,None
10,None
11,None
12,None
13,None
14,None
15,None
16,None
17,None
18,None
19,None
20,None
21,None
22,None
23,None
24,None
25,None
26,None
27,None
28,None
29,None
30,None
31,None
32,None
33,None
34,None
35,None
36,None
37,None
38,None
39,None
40,None
41,None
42,None
43,None
44,None
45,None
46,None
47,None
48,None
49,None
50,None
51,None
52,None
53,None
54,None
55,None
56,None
57,None
58,None
59,None
60,None
61,None
62,None
63,None
64,None
65,None
66,None
67,None
68,None
69,None
70,None
71,None
72,None
73,None
74,None
75,None
76,None
77,None
78,None
79,None
80,None
81,None
82,None
83,None
84,None
85,None
86,None
87,None
88,None
89,None
90,None
91,None
92,None
93,None
94,None
95,None
96,None
97,None
98,None
99,None
100,None
101,None
102,None
103,None
104,None
105,None
106,None
107,None
108,None
109,None
110,None
111,None
112,None
113,None
114,None
115,None
116,None
117,None
118,None
119,None
120,None
121,None
122,None
123,None
124,None
125,None
126,None
127,None
128,None
129,None
130,None
131,None
132,None
133,None
134,None
135,None
136,None
137,None
138,None
139,None
140,None
141,None
142,None
143,None
144,None
145,None
146,None
147,None
148,None
149,None
150,None
151,None
152,None
153,None
154,None
155,None
156,None
157,None
158,None
159,None
160,None
161,None
162,None
163,None
164,None
165,None
166,None
167,None
168,None
169,None
170,None
171,None
172,None
173,None
174,None
175,None
176,None
177,None
178,None
179,None
180,None
181,None
182,None
183,None
184,None
185,None
186,None
187,None
188,None
189,None
190,None
191,None
192,None
193,None
194,None
195,None
196,None
197,None
198,None
199,None
200,None
201,None
202,None
203,None
204,None
205,None
206,None
207,None
208,None
209,None
210,None
211,None
212,None
213,None
214,None
215,None
216,None
217,None
218,None
219,None
220,None
221,None
222,None
223,None
224,None
225,None
226,None
227,None
228,None
229,None
230,None
231,None
232,None
233,None
234,None
235,None
236,None
237,None
238,None
239,None
240,None
241,None
242,None
243,None
244,None
245,None
246,None
247,None
248,None
249,None
250,None
251,None
252,None
253,None
254,None
255,None
256,None
257,None
258,None
259,None
260,None
261,None
262,None
263,None
264,None
265,None
266,None
267,None
268,None
269,None
270,None
271,None
272,None
273,None
274,None
275,None
276,None
277,None
278,None
279,None
280,None
281,None
282,None
283,None
284,None
285,None
286,None
287,None
288,None
289,None
290,None
291,None
292,None
293,None
294,None
295,None
296,None
297,None
298,None
299,None
300,None
301,None
302,None
303,None
304,None
305,None
306,None
307,None
308,None
309,None
310,None
311,None
312,None
313,None
314,None
315,None
316,None
317,None
318,None
319,None
320,None
321,None
322,None
323,None
324,None
325,None
326,None
327,None
328,None
329,None
330,None
331,None
332,None
333,None
334,None
335,None
336,None
337,None
338,None
339,None
340,None
341,None
342,None
343,None
344,None
345,None
346,None
347,None
348,None
349,None
350,None
351,None
352,None
353,None
354,None
355,None
356,None
357,None
358,None
359,None
360,None
361,None
362,None
363,None
364,None
365,None
366,None
367,None
368,None
369,None
370,None
371,None
372,None
373,None
374,None
375,None
376,None
377,None
378,None
379,None
380,None
381,None
382,None
383,None
384,None
385,None
386,None
387,None
388,None
389,None
390,None
391,None
392,None
393,None
394,None
395,None
396,None
397,None
398,None
399,None
400,None
401,None
402,None
403,None
404,None
405,None
406,None
407,None
408,None
409,None
410,None
411,None
412,None
413,None
414,None
415,None
416,None
417,None
418,None
419,None
420,None
421,None
422,None
423,None
424,None
425,None
426,None
427,None
428,None
429,None
430,None
431,None
432,None
433,None
434,None
435,None
436,None
437,None
438,None
439,None
440,None
441,None
442,None
443,None
444,None
445,None
446,None
447,None
448,None
449,None
450,None
451,None
452,None
453,None
454,None
455,None
456,None
457,None
458,None
459,None
460,None
461,None
462,None
463,None
464,None
465,None
466,None
467,None
468,None
469,None
470,None
471,None
472,None
473,None
474,None
475,None
476,None
477,None
478,None
479,None
480,None
481,None
482,None
483,None
484,None
485,None
486,None
487,None
488,None
489,None
490,None
491,None
492,None
493,None
494,None
495,None
496,None
497,None
498,None
499,None
500,None
501,None
502,None
503,None
504,None
505,None
506,None
507,None
508,None
509,None
510,None
511,None
512,None
513,None
514,None
515,None
516,None
517,None
518,None
519,None
520,None
521,None
522,None
523,None
524,None
525,None
526,None
527,None
528,None
529,None
530,None
531,None
532,None
533,None
534,None
535,None
536,None
537,None
538,None
539,None
540,None
541,None
542,None
543,None
544,None
545,None
546,None
547,None
548,None
549,None
550,None
551,None
552,None
553,None
554,None
555,None
556,None
557,None
558,None
559,None
560,None
561,None
562,None
563,None
564,None
565,None
566,None
567,None
568,None
569,None
570,None
571,None
572,None
573,None
574,None
575,None
576,None
577,None
578,None
579,None
580,None
581,None
582,None
583,None
584,None
585,None
586,None
587,None
588,None
589,None
590,None
591,None
592,None
593,None
594,None
595,None
596,None
597,None
598,None
599,None
600,None
601,None
602,None
603,None
604,None
605,None
606,None
607,None
608,None
609,None
610,None
611,None
612,None
613,None
614,None
615,None
616,None
617,None
618,None
619,None
620,None
621,None
622,None
623,None
624,None
625,None
626,None
627,None
628,None
629,None
630,None
631,None
632,None
633,None
634,None
635,None
636,None
637,None
638,None
639,None
640,None
641,None
642,None
643,None
644,None
645,None
