     ,dur       ,sbytes ,dbytes  ,sttl ,dttl ,sloss ,dloss ,Sload             ,Dload           ,Spkts ,Dpkts ,swin ,dwin ,stcpb      ,dtcpb      ,smeansz ,dmeansz ,trans_depth ,res_bdy_len ,Sjit         ,Djit         ,Sintpkt      ,Dintpkt      ,tcprtt   ,synack   ,ackdat   ,is_sm_ips_ports ,ct_state_ttl ,ct_flw_http_mthd ,is_ftp_login ,ct_ftp_cmd ,ct_srv_src ,ct_srv_dst ,ct_dst_ltm ,ct_src_ltm ,ct_src_dport_ltm ,ct_dst_sport_ltm ,ct_dst_src_ltm ,proto_any ,proto_arp ,proto_br-sat-mon ,proto_cpnx ,proto_crtp ,proto_ddp ,proto_ddx ,proto_eigrp ,proto_gre ,proto_icmp ,proto_idpr ,proto_idpr-cmtp ,proto_il ,proto_ipcomp ,proto_ipnip ,proto_ipx-n-ip ,proto_irtp ,proto_iso-ip ,proto_mtp ,proto_ospf ,proto_pnni ,proto_rdp ,proto_rsvp ,proto_sctp ,proto_sdrp ,proto_skip ,proto_smp ,proto_stp ,proto_sun-nd ,proto_swipe ,proto_tcp ,proto_trunk-1 ,proto_udp ,proto_unas ,proto_vines ,proto_wb-mon ,state_CON ,state_FIN ,state_INT ,state_REQ ,state_TXD ,state_no ,service_- ,service_dns ,service_ftp ,service_ftp-data ,service_http ,service_pop3 ,service_smtp ,service_ssh
   0 ,36.568565 ,    56 ,     92 ,   0 ,   0 ,    0 ,    0 ,         6.12548  ,      10.063288 ,    2 ,    2 ,   0 ,   0 ,         0 ,         0 ,     28 ,     46 ,          0 ,          0 , 2682.9815   , 2683.44525  ,33884.576    ,33884.156    ,0.0      ,0.0      ,0.0      ,              0 ,           0 ,             0.0 ,         0.0 ,           ,         2 ,         2 ,         2 ,         2 ,               2 ,               2 ,             2 ,False     ,True      ,False            ,False      ,False      ,False     ,False     ,False       ,False     ,False      ,False      ,False           ,False    ,False        ,False       ,False          ,False      ,False        ,False     ,False      ,False      ,False     ,False      ,False      ,False      ,False      ,False     ,False     ,False        ,False       ,False     ,False         ,False     ,False      ,False       ,False        ,True      ,False     ,False     ,False     ,False     ,False    ,True      ,False       ,False       ,False            ,False        ,False        ,False        ,False
   1 ,50.004364 ,   384 ,      0 ,   1 ,   0 ,    0 ,    0 ,        51.19553  ,       0.0      ,    6 ,    0 ,   0 ,   0 ,         0 ,         0 ,     64 ,      0 ,          0 ,          0 ,    3.651645 ,    0.0      ,10000.873    ,    0.0      ,0.0      ,0.0      ,0.0      ,              0 ,           0 ,             0.0 ,         0.0 ,           ,         1 ,         2 ,         2 ,         1 ,               1 ,               2 ,             1 ,False     ,False     ,False            ,False      ,False      ,False     ,False     ,False       ,False     ,False      ,False      ,False           ,False    ,False        ,False       ,False          ,False      ,False        ,False     ,True       ,False      ,False     ,False      ,False      ,False      ,False      ,False     ,False     ,False        ,False       ,False     ,False         ,False     ,False      ,False       ,False        ,False     ,False     ,False     ,True      ,False     ,False    ,True      ,False       ,False       ,False            ,False        ,False        ,False        ,False
   2 ,50.004383 ,   384 ,      0 ,   1 ,   0 ,    0 ,    0 ,        51.195511 ,       0.0      ,    6 ,    0 ,   0 ,   0 ,         0 ,         0 ,     64 ,      0 ,          0 ,          0 ,    2.582259 ,    0.0      ,10000.87     ,    0.0      ,0.0      ,0.0      ,0.0      ,              0 ,           0 ,             0.0 ,         0.0 ,           ,         2 ,         4 ,         4 ,         2 ,               2 ,               4 ,             2 ,False     ,False     ,False            ,False      ,False      ,False     ,False     ,False       ,False     ,False      ,False      ,False           ,False    ,False        ,False       ,False          ,False      ,False        ,False     ,True       ,False      ,False     ,False      ,False      ,False      ,False      ,False     ,False     ,False        ,False       ,False     ,False         ,False     ,False      ,False       ,False        ,False     ,False     ,False     ,True      ,False     ,False    ,True      ,False       ,False       ,False            ,False        ,False        ,False        ,False
   3 ,0.0       ,    46 ,      0 ,   0 ,   0 ,    0 ,    0 ,         0.0      ,       0.0      ,    1 ,    0 ,   0 ,   0 ,         0 ,         0 ,     46 ,      0 ,          0 ,          0 ,    0.0      ,    0.0      ,60000.656    ,    0.0      ,0.0      ,0.0      ,0.0      ,              1 ,           2 ,             0.0 ,         0.0 ,           ,         1 ,         1 ,         1 ,         1 ,               1 ,               1 ,             1 ,False     ,True      ,False            ,False      ,False      ,False     ,False     ,False       ,False     ,False      ,False      ,False           ,False    ,False        ,False       ,False          ,False      ,False        ,False     ,False      ,False      ,False     ,False      ,False      ,False      ,False      ,False     ,False     ,False        ,False       ,False     ,False         ,False     ,False      ,False       ,False        ,False     ,False     ,True      ,False     ,False     ,False    ,True      ,False       ,False       ,False            ,False        ,False        ,False        ,False
   4 ,0.0       ,    46 ,      0 ,   0 ,   0 ,    0 ,    0 ,         0.0      ,       0.0      ,    1 ,    0 ,   0 ,   0 ,         0 ,         0 ,     46 ,      0 ,          0 ,          0 ,    0.0      ,    0.0      ,60000.68     ,    0.0      ,0.0      ,0.0      ,0.0      ,              1 ,           2 ,             0.0 ,         0.0 ,           ,         1 ,         1 ,         1 ,         1 ,               1 ,               1 ,             1 ,False     ,True      ,False            ,False      ,False      ,False     ,False     ,False       ,False     ,False      ,False      ,False           ,False    ,False        ,False       ,False          ,False      ,False        ,False     ,False      ,False      ,False     ,False      ,False      ,False      ,False      ,False     ,False     ,False        ,False       ,False     ,False         ,False     ,False      ,False       ,False        ,False     ,False     ,True      ,False     ,False     ,False    ,True      ,False       ,False       ,False            ,False        ,False        ,False        ,False
   5 ,0.0       ,    46 ,      0 ,   0 ,   0 ,    0 ,    0 ,         0.0      ,       0.0      ,    1 ,    0 ,   0 ,   0 ,         0 ,         0 ,     46 ,      0 ,          0 ,          0 ,    0.0      ,    0.0      ,60000.76     ,    0.0      ,0.0      ,0.0      ,0.0      ,              1 ,           2 ,             0.0 ,         0.0 ,           ,         2 ,         2 ,         2 ,         2 ,               2 ,               2 ,             2 ,False     ,True      ,False            ,False      ,False      ,False     ,False     ,False       ,False     ,False      ,False      ,False           ,False    ,False        ,False       ,False          ,False      ,False        ,False     ,False      ,False      ,False     ,False      ,False      ,False      ,False      ,False     ,False     ,False        ,False       ,False     ,False         ,False     ,False      ,False       ,False        ,False     ,False     ,True      ,False     ,False     ,False    ,True      ,False       ,False       ,False            ,False        ,False        ,False        ,False
   6 ,0.0       ,    46 ,      0 ,   0 ,   0 ,    0 ,    0 ,         0.0      ,       0.0      ,    1 ,    0 ,   0 ,   0 ,         0 ,         0 ,     46 ,      0 ,          0 ,          0 ,   15.492028 ,    0.0      ,60000.736    ,    0.0      ,0.0      ,0.0      ,0.0      ,              1 ,           2 ,             0.0 ,         0.0 ,           ,         2 ,         2 ,         2 ,         2 ,               2 ,               2 ,             2 ,False     ,True      ,False            ,False      ,False      ,False     ,False     ,False       ,False     ,False      ,False      ,False           ,False    ,False        ,False       ,False          ,False      ,False        ,False     ,False      ,False      ,False     ,False      ,False      ,False      ,False      ,False     ,False     ,False        ,False       ,False     ,False         ,False     ,False      ,False       ,False        ,False     ,False     ,True      ,False     ,False     ,False    ,True      ,False       ,False       ,False            ,False        ,False        ,False        ,False
   7 ,0.000119  ,   503 ,      0 ,  64 ,   0 ,    0 ,    0 ,  16941176.0      ,       0.0      ,    2 ,    0 ,   0 ,   0 ,         0 ,         0 ,    252 ,      0 ,          0 ,          0 ,    0.0      ,    0.0      ,    0.119    ,    0.0      ,0.0      ,0.0      ,0.0      ,              0 ,           0 ,             0.0 ,         0.0 ,           ,        25 ,        25 ,        25 ,        25 ,              25 ,              25 ,            25 ,False     ,False     ,False            ,False      ,False      ,False     ,False     ,False       ,False     ,False      ,False      ,False           ,False    ,False        ,False       ,False          ,False      ,False        ,False     ,False      ,False      ,False     ,False      ,False      ,False      ,False      ,False     ,False     ,False        ,False       ,False     ,False         ,True      ,False      ,False       ,False        ,False     ,False     ,True      ,False     ,False     ,False    ,True      ,False       ,False       ,False            ,False        ,False        ,False        ,False
   8 ,0.000134  ,   503 ,      0 ,  64 ,   0 ,    0 ,    0 ,  15044776.0      ,       0.0      ,    2 ,    0 ,   0 ,   0 ,         0 ,         0 ,    252 ,      0 ,          0 ,          0 ,    0.0      ,    0.0      ,    0.134    ,    0.0      ,0.0      ,0.0      ,0.0      ,              0 ,           0 ,             0.0 ,         0.0 ,           ,        56 ,        56 ,        56 ,        56 ,              56 ,              56 ,            56 ,False     ,False     ,False            ,False      ,False      ,False     ,False     ,False       ,False     ,False      ,False      ,False           ,False    ,False        ,False       ,False          ,False      ,False        ,False     ,False      ,False      ,False     ,False      ,False      ,False      ,False      ,False     ,False     ,False        ,False       ,False     ,False         ,True      ,False      ,False       ,False        ,False     ,False     ,True      ,False     ,False     ,False    ,True      ,False       ,False       ,False            ,False        ,False        ,False        ,False
   9 ,7.2e-05   ,   503 ,      0 ,  64 ,   0 ,    0 ,    0 ,  28000000.0      ,       0.0      ,    2 ,    0 ,   0 ,   0 ,         0 ,         0 ,    252 ,      0 ,          0 ,          0 ,    0.0      ,    0.0      ,    0.072    ,    0.0      ,0.0      ,0.0      ,0.0      ,              0 ,           0 ,             0.0 ,         0.0 ,           ,        60 ,        60 ,        60 ,        60 ,              60 ,              60 ,            60 ,False     ,False     ,False            ,False      ,False      ,False     ,False     ,False       ,False     ,False      ,False      ,False           ,False    ,False        ,False       ,False          ,False      ,False        ,False     ,False      ,False      ,False     ,False      ,False      ,False      ,False      ,False     ,False     ,False        ,False       ,False     ,False         ,True      ,False      ,False       ,False        ,False     ,False     ,True      ,False     ,False     ,False    ,True      ,False       ,False       ,False            ,False        ,False        ,False        ,False
