,Stime,Ltime
0,1424261723,1424261760
1,1424252414,1424252464
2,1424260855,1424260905
3,1424252891,1424252891
4,1424252171,1424252171
5,1424261111,1424261111
6,1424261531,1424261531
7,1424250648,1424250648
8,1424254973,1424254973
9,1424258576,1424258576
10,1424258576,1424258576
11,1424261734,1424261777
12,1424257272,1424257315
13,1424256862,1424256862
14,1424261553,1424261553
15,1424252601,1424252631
16,1424259038,1424259038
17,1424254704,1424254735
18,1424260793,1424260793
19,1424261239,1424261239
20,1424260184,1424260184
21,1424260490,1424260490
22,1424259562,1424259562
23,1424258847,1424258847
24,1424259087,1424259087
25,1424259258,1424259258
26,1424260413,1424260413
27,1424260669,1424260669
28,1424260057,1424260057
29,1424261600,1424261600
30,1424260134,1424260134
31,1424260454,1424260454
32,1424259720,1424259720
33,1424261778,1424261778
34,1424259395,1424259395
35,1424260058,1424260058
36,1424260123,1424260123
37,1424261866,1424261866
38,1424260515,1424260515
39,1424259043,1424259043
40,1424258929,1424258929
41,1424259046,1424259046
42,1424259153,1424259153
43,1424260314,1424260314
44,1424260171,1424260171
45,1424260587,1424260587
46,1424260288,1424260288
47,1424259780,1424259780
48,1424261374,1424261374
49,1424259054,1424259054
50,1424261247,1424261247
51,1424260219,1424260219
52,1424261418,1424261418
53,1424260419,1424260419
54,1424261481,1424261481
55,1424260158,1424260158
56,1424260362,1424260362
57,1424259309,1424259309
58,1424260025,1424260025
59,1424260421,1424260421
60,1424260353,1424260353
61,1424259694,1424259694
62,1424259454,1424259454
63,1424259054,1424259054
64,1424259083,1424259083
65,1424260867,1424260867
66,1424258871,1424258871
67,1424259897,1424259897
68,1424260008,1424260008
69,1424260461,1424260461
70,1424259626,1424259626
71,1424259186,1424259186
72,1424259130,1424259130
73,1424260208,1424260208
74,1424260038,1424260038
75,1424259238,1424259238
76,1424259067,1424259067
77,1424260478,1424260478
78,1424259032,1424259032
79,1424259177,1424259177
80,1424259863,1424259863
81,1424260735,1424260735
82,1424260461,1424260461
83,1424259057,1424259057
84,1424258884,1424258884
85,1424260475,1424260475
86,1424260265,1424260265
87,1424260692,1424260692
88,1424260637,1424260637
89,1424259188,1424259188
90,1424261785,1424261785
91,1424259058,1424259058
92,1424260776,1424260776
93,1424259981,1424259981
94,1424259393,1424259393
95,1424259581,1424259581
96,1424260916,1424260916
97,1424260949,1424260949
98,1424261897,1424261897
99,1424259077,1424259077
100,1424261752,1424261752
101,1424261089,1424261089
102,1424262048,1424262048
103,1424261848,1424261848
104,1424260603,1424260603
105,1424260127,1424260127
106,1424260679,1424260679
107,1424260409,1424260409
108,1424260857,1424260857
109,1424261146,1424261146
110,1424260301,1424260301
111,1424260778,1424260778
112,1424258986,1424258986
113,1424260415,1424260415
114,1424260972,1424260972
115,1424260280,1424260280
116,1424259606,1424259606
117,1424259044,1424259044
118,1424260049,1424260049
119,1424259171,1424259171
120,1424260092,1424260092
121,1424259589,1424259589
122,1424261274,1424261274
123,1424260153,1424260153
124,1424260376,1424260376
125,1424260934,1424260934
126,1424261399,1424261399
127,1424259083,1424259083
128,1424259041,1424259041
129,1424259023,1424259023
130,1424259239,1424259239
131,1424261944,1424261944
132,1424259221,1424259221
133,1424259065,1424259065
134,1424259059,1424259059
135,1424259102,1424259102
136,1424261468,1424261468
137,1424258820,1424258820
138,1424260452,1424260452
139,1424261804,1424261804
140,1424261120,1424261120
141,1424260369,1424260369
142,1424260306,1424260306
143,1424260317,1424260317
144,1424260934,1424260934
145,1424260675,1424260675
146,1424260248,1424260248
147,1424260572,1424260572
148,1424260111,1424260111
149,1424260126,1424260126
150,1424259344,1424259344
151,1424260667,1424260667
152,1424260140,1424260140
153,1424260096,1424260096
154,1424260384,1424260384
155,1424260703,1424260703
156,1424261154,1424261154
157,1424260719,1424260719
